"职业","卡名","类型","效果"
"游侠","活力护符","装备牌","回合开始时行动力+2"
"游侠","激励","行动牌","造成1点伤害2次抽1张牌"
"游侠","极限闪避","行动牌","40%几率闪避伤害持续1回合敌方抽3张牌"
"游侠","急行","行动牌","闪避敌方下次伤害抽张牌"
"游侠","疾跑","行动牌","抽3张牌，行动力+3"
"游侠","加速","行动牌","抽张牌，行动力+2"
"游侠","箭袋","装备牌","回合开始时抽I张箭牌使其伤害+3"
"游侠","箭袋","装备牌","每造成3次物理伤害造成1点穿刺伤害"
"游侠","缴械","行动牌","获得敌方场上的1张装备牌"
"游侠","节约","行动牌","随机获得2张本回合弃掉的牌"
"游侠","禁言","行动牌","抽张牌无效敌方的下1张牌"
"游侠","精准打击","行动牌","造成5点伤害，自己每有1张手牌伤害+1"
"游侠","镜像","行动牌","移除获得最左边手牌的复制"
"游侠","锯齿箭","装备牌","你造成的伤害+1"
"游侠","卡牌包","特殊牌","购买这张牌时增加3张随机卡牌至你的牌组"
"游侠","卡片速递","行动牌","移除抽牌直到达到存牌上限"
"游侠","灵魂冲击","行动牌","丢弃1张手牌，对敌方造成11点伤害"
"游侠","灵魂羁绊","行动牌","获得护甲*5如果这张牌被选择丢弃造成5点伤害获得这张牌的复制*"
"游侠","灵巧飞刀","装备牌","闪避成功时，造成6点雷属性伤害"
"游侠","灵巧护符","装备牌","25%几率闪避伤害"
"游侠","流血箭","攻击牌","敌方获得16点流血"
"游侠","迷幻","行动牌","移除，抽张牌敌方失去所有的法力"
"游侠","迷失方向","反制牌","当敌方使用行动牌时:将其无效并获得其效果"
"游侠","密谋","行动牌","抽张牌并获得其复制*"
"游侠","敏捷","行动牌","抽I张牌，行动力+3"
"游侠","模仿","行动牌","复制本回合已使用的1张行动牌的效果"
"游侠","磨砺","行动牌","选择移除1-3张手牌每移除1张行动力+1并抽1张牌"
"游侠","耐力补给","行动牌","移除行动力+3"
"游侠","凝视","反制牌","敌方使用攻击牌时:将其无效敌方获得2点易伤"
"游侠","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"游侠","普通攻击","攻击牌","造成5点伤害"
"游侠","普通攻击","攻击牌","造成6点伤害"
"游侠","奇袭","行动牌","从敌方初始牌组中选择一张获得"
"游侠","窃取","行动牌","移除获得3金币"
"游侠","取舍","行动牌","抽2张牌然后丢弃1张手牌"
"游侠","弱点暴露","行动牌","敌方获得2点易伤"
"游侠","弱点侦查","行动牌","本回合的下次卡牌的伤害翻倍"
"游侠","商品订单","特殊牌","购买此牌时，刷新商品"
"游侠","上膛","行动牌","下一张攻击牌额外触发2次"
"游侠","熟能生巧","行动牌","移除，选择1张手牌本次战斗该牌的同名牌消耗为0"
"游侠","死守","行动牌","丢弃所有手牌，每丢弃1张，获得6点护甲"
"游侠","速度之靴","装备牌","你的回合开始时抽张牌，行动力+1"
"游侠","逃跑","行动牌","移除持续1回合免疫任何伤害"
"游侠","突发奇想","行动牌","查看4张随机牌，选择1张将其3张复制*洗入牌组"
"游侠","突袭","行动牌","移除抽3张牌"
"游侠","退缩","反制牌","敌方使用伤害牌时:将其无效，抽张牌"
"游侠","万箭齐发","行动牌","从牌组选择一张牌抽取其所有同名牌"
"游侠","无中生有","行动牌","移除获得2张随机牌"
"游侠","误导","反制牌","敌方使用攻击牌时:随机获得敌方1张手牌"
"游侠","娴熟魔术","行动牌","将2张恶作剧放入敌方牌组，敌方下个回合抽牌时随机丢弃1张"
"游侠","小丑戏法","攻击牌","将2张恶作剧洗入敌方的牌组"
"游侠","兴奋","行动牌","造成1点伤害2次抽I张牌，行动力+1"
"游侠","迅捷攻击","攻击牌","造成5点伤害抽张牌"
"游侠","遗失","行动牌","抽3张牌然后丢弃2张手牌"
"游侠","以静制动","行动牌","移除，直到下个回合受到>3的伤害减少到3抽张牌"
"游侠","隐藏服","装备牌","10%几率闪避伤害这个效果闪避成功时抽1张牌"
"游侠","隐形斗篷","装备牌","敌方每回合使用的第1张牌无效(无法叠加)"
"游侠","应急干粮","攻击牌","移除，获得2点行动力失去所有行动力时从牌组获得这张牌"
"游侠","佣兵小队","行动牌","从3张随机牌*中选择1张获得"
"游侠","幽灵之刃","装备牌","每额外抽1次牌对敌方造成1点伤害"
"游侠","预备攻击","行动牌","造成2点穿刺伤害抽1张牌若因为其它效果被丢弃造成15穿刺伤害"
"游侠","预备路线","行动牌","抽张牌若这张牌因为其它效果被丢弃，抽2张牌"
"游侠","预备治疗","行动牌","恢复2点生命，抽1张牌若因为其它效果被丢弃恢复10点生命"
"游侠","欲望","行动牌","移除,抽张牌获得2金币"
"游侠","躁动","行动牌","移除抽2张牌"
"游侠","炸弹","行动牌","造成30点火属性伤害将这张牌永久移出游戏"
"游侠","长弓","装备牌","每使用1张行动牌对敌方造成1点伤害"
"游侠","支援","攻击牌","造成1点伤害，抽1张牌当你使用攻击牌时，从牌组获得这张牌"
"游侠","致命匕首","装备牌","回合结束时消耗所有行动力每消耗1点，造成2点伤害"
"游侠","致命伤","行动牌","抽1张牌，行动力+1敌方获得2点中毒"
"游侠","重型弩炮","装备牌","回合开始时丢弃所有手牌再抽等量牌"
"游侠","专注","行动牌","抽2张牌"
"游侠","追击","行动牌","本回合每使用过1张行动牌，造成2点伤害"
