"职业","卡名","类型","效果"
"机械师","炸药狂热","行动牌","行动力+1，耗尽:下回合造成10点穿刺伤害"
"机械师","炸药研发","行动牌","获得2张机械炸药下回合获得2张机械炸药"
"机械师","召唤机甲","行动牌","移除，获得5点护甲触发携带的牌组中所有获得护甲的效果"
"机械师","终极粉碎","行动牌","移除，行动力+1，耗尽随机移除敌方1张牌造成3点穿刺伤害"
"机械师","终极改造","行动牌","升级你拥有的牌2次溢出的升级转化为2点穿刺伤害"
"机械师","抓钩","攻击牌","移除获得你本回合使用的上一张行动牌的复制"
"机械师","专注","行动牌","抽2张牌"
"机械师","自我修复","行动牌","移除，重新获得本次战斗失去过的所有护甲"
"机械师","组装工具","装备牌","回合开始时抽张行动牌使其消耗变为0"
"机械师","组装站","行动牌","获得5点护甲随机获得2张组装牌组装:使用1张牌"
"机械师","钻头","装备牌","你每失去1点行动力造成1点穿刺伤害"
