"职业","卡名","类型","效果"
"契约师","回忆","行动牌","移除从被移除的牌中选择一张加入手牌"
"契约师","招魂术","咒术牌","汲取3点法力抽1张牌"
"契约师","共鸣","反制牌","敌方使用攻击/行动/咒术牌时:将其无效并获得其效果"
"契约师","猩红绽放","咒术牌","移除，装备1张冥界花将此牌的复制洗入牌组"
"契约师","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"契约师","秘密研究","行动牌","移除，获得3点法力本次战斗每回合获得3点法力"
"契约师","灵魂榨取","咒术牌","汲取7点法力30%几率从敌方牌组获得1张牌"
"契约师","法力结界","法力牌","获得5点法力无效敌方的下1张牌"
"契约师","灵魂宝盒","行动牌","移除，抽取消耗为2,4,6的牌各一张"
"契约师","钻研术","咒术牌","抽1张牌并造成10点伤害若手牌卡牌类型均不同则重复这个效果"
"契约师","孤注一掷","行动牌","获得1至3张随机牌"
"契约师","炼狱之审判","咒术牌","获得5点审判抽1张牌"
"契约师","摆渡","咒术牌","造成5点穿刺伤害若敌方没有法力则你抽2张牌"
"契约师","斜掠","行动牌","移除，将所有手牌洗入牌组底部抽洗入数量+1张牌"
"契约师","灵魂凝固","咒术牌","移除，造成5点穿刺伤害无效敌方的下1张牌"
"契约师","死神之手","行动牌","依次50%几率触发:行动力+2，抽2张牌汲取6点法力"
"契约师","最后的希望","行动牌","移除额外进行1回合然后自己生命变为1"
"契约师","灵魂冻结","咒术牌","移除无效敌方的下2张牌"
"契约师","消逝","咒术牌","吸取敌方6点生命汲取6点法力"
"契约师","大难临头","行动牌","获得2张随机审判牌*"
"契约师","反冲","反制牌","移除敌方使用行动/咒术牌时:那张牌返回手牌，敌方失去行动力和法力"
"契约师","溃散","咒术牌","造成8点穿刺伤害将2张恐惧洗入敌方牌组"
"契约师","危险契约","行动牌","将你的生命值变为1本回合你造成的伤害翻倍，并吸取10%生命"
"契约师","通灵术","行动牌","移除，若敌方没有法力则手牌所有咒术牌消耗+2且效果翻倍"
"契约师","暗中窥视","咒术牌","抽2张牌你失去生命时，手中的此牌消耗减少"
"契约师","能量同化","行动牌","移除，本次战斗当你在自己回合失去生命时恢复2点生命"
"契约师","阴云密布","法力牌","获得5点法力获得5点审判"
"契约师","恐惧来袭","咒术牌","将2张恐惧洗入敌方牌组，本次战斗敌方的咒术牌消耗+1"
"契约师","死神硬币","法力牌","移除，获得1金币直到你下个回合开始你运气变好"
"契约师","血色之审判","咒术牌","移除，获得5点审判每有4点审判吸取敌方1点生命"
