"职业","卡名","类型","效果"
"女巫","空间撕裂","行动牌","从3张其他职业的咒术牌*中选择1张获得其效果加倍"
"女巫","枯萎","咒术牌","敌方中毒总量翻倍并获得6点中毒"
"女巫","快速施法","法力牌","本次战斗法力消耗-1"
"女巫","雷鸣","攻击牌","造成5点雷属性伤害下个咒术牌无消耗"
"女巫","雷云","咒术牌","造成5点雷属性伤害每剩余1点法力，额外增加1点雷属性伤害(最多50点)"
"女巫","灵感","法力牌","获得5点法力然后在你的牌组中抽取1张咒术牌"
"女巫","灵感烟斗","装备牌","每使用5张咒术牌获得1张随机咒术牌*"
"女巫","迷失方向","反制牌","当敌方使用行动牌时:将其无效并获得其效果"
"女巫","魔力法杖","装备牌","当你获得法力时每获得2点法力造成1点伤害"
"女巫","魔术飞刀","咒术牌","触发你携带的随机2张攻击牌的效果"
"女巫","能量饮料","法力牌","移除获得25点法力"
"女巫","凝固","咒术牌","敌方下个回合抽牌-1并且获得3点寒冷"
"女巫","凝视","反制牌","敌方使用攻击牌时:将其无效敌方获得2点易伤"
"女巫","女巫之书","装备牌","你的回合开始时从牌组中抽取1张咒术牌"
"女巫","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"女巫","普通攻击","攻击牌","造成5点伤害"
"女巫","普通攻击","攻击牌","造成6点伤害"
"女巫","千刀万剐","攻击牌","造成1点伤害重复5次"
"女巫","燃烧果实","装备牌","回合开始时获得1张火球、"
"女巫","商品订单","特殊牌","购买此牌时，刷新商品"
"女巫","烧焦","行动牌","敌方获得2点易伤自己获得1点易伤"
"女巫","水晶球","咒术牌","抽张牌并获得其复制*"
"女巫","酸性喷雾","咒术牌","敌方获得4点中毒"
"女巫","酸性炸弹","咒术牌","敌方获得7点中毒"
"女巫","痛苦打击","攻击牌","造成6点伤害获得6点法力"
"女巫","突发奇想","行动牌","查看4张随机牌，选择1张将其3张复制*洗入牌组"
"女巫","退缩","反制牌","敌方使用伤害牌时:将其无效，抽张牌"
"女巫","巫术转移","咒术牌","移除无效敌方的下张牌下回合额外抽I张牌"
"女巫","无中生有","行动牌","移除获得2张随机牌"
"女巫","邪恶水晶","咒术牌","敌方获得3点易伤"
"女巫","炎爆术","咒术牌","造成30点火属性伤害"
"女巫","移动施法","法力牌","获得7点法力行动力+2"
"女巫","隐藏","咒术牌","移除获得物理免疫持续1回合"
"女巫","隐形斗篷","装备牌","敌方每回合使用的第1张牌无效(无法叠加)"
"女巫","预言","行动牌","从牌组中选1张牌加入手牌"
"女巫","灾难","咒术牌","造成35点水属性伤害破坏敌方所有装备牌与祷告牌"
"女巫","躁动","行动牌","移除抽2张牌"
"女巫","炸弹","行动牌","造成30点火属性伤害将这张牌永久移出游戏"
"女巫","战斗法杖","装备牌","当你使用攻击牌时获得2点法力"
"女巫","着魔","法力牌","移除，抽1张牌获得9点法力"
"女巫","执念恶灵","咒术牌","移除对敌方造成10点穿刺伤害下回合开始时重新获得"
"女巫","炙热斗篷","装备牌","敌方使用攻击牌时对敌方造成2点火属性伤害"
"女巫","治疗药膏","法力牌","获得5点法力恢复5点生命"
"女巫","致死霜冻","咒术牌","造成20点水属性伤害(寒冷状态伤害加倍敌方获得5点寒冷"
"女巫","智慧","法力牌","获得5点法力抽1张牌"
"女巫","咒语强化","行动牌","当前回合的下个咒术牌效果额外触发一次"
"女巫","咒语突破","行动牌","手牌中所有咒术牌全部变为临时牌但是效果翻倍"
"女巫","咒语吞噬","行动牌","选择并移除牌组中最多3张牌，若移除了咒术牌，触发其效果"
"女巫","专注","行动牌","抽2张牌"
"女巫","转啊转","行动牌","回合结束前，每使用1张行动牌，下一张咒术牌效果翻倍"
"女巫","钻研术","咒术牌","抽1张牌并造成10点伤害若手牌卡牌类型均不同则重复这个效果"
