"职业","稀有度","卡名","类型","标签","费用","效果"
"药剂师","稀有","化学奇点","技能","配方","3","你本回合打出的药剂牌额外结算它们造成的所有负面状态一次，且不消耗强效。"
"药剂师","稀有","终极鸡尾酒","技能","药剂 调合","3","将目标身上的中毒、烧伤、寒冷、黏着各结算2次，然后每有1种不同负面状态造成8点伤害。"
"药剂师","稀有","超级反物质","攻击","药剂 暗影","2","造成10点穿刺伤害。本场战斗每当你打出反物质，将1张临时反物质洗入弃牌堆。"
"药剂师","稀有","雷暴连锁","攻击","药剂 雷电","3","对所有敌人造成4点伤害6次。每命中1个带负面状态的目标，抽1张牌。"
"药剂师","稀有","万能解药","技能","回复","2","移除你身上的所有负面状态。每移除1种，回复4点生命并获得1层强效。"
"药剂师","稀有","剧毒蒸馏","技能","药剂 毒素","2","所有敌人的中毒翻倍，然后立即结算1次中毒。"
"药剂师","稀有","冰火交错","攻击","药剂 火焰 冰霜","2","造成10点伤害并施加6层烧伤与6层寒冷。若目标已带有其中任一状态，重复一次。"
"药剂师","稀有","巫术转移","技能","配方","2","获得12点格挡。下回合抽2张牌。若你有强效，本回合第一次受到的负面状态无效。"
"药剂师","稀有","健忘","技能","回收","1","随机消耗手牌中的1张牌。获得12点格挡，并将1张随机具有消耗的牌置入手牌，本回合费用变为0。"
"药剂师","稀有","能量饮料","技能","强效","2","获得2点能量和2层强效。消耗。"
"药剂师","稀有","强效膨胀","技能","强效","2","将你的强效翻倍。你本回合打出的下一张药剂牌不消耗强效。"
"药剂师","稀有","爆燃催化","技能","火焰 毒素","2","立即结算所有敌人的烧伤1次，并施加等同于已结算烧伤一半层数的中毒。"
"药剂师","稀有","实验事故","攻击","药剂","3","随机对所有敌人施加6层烧伤、中毒、寒冷或黏着各1种，并造成20点随机分配伤害。"
"药剂师","稀有","药剂风暴","技能","配方","3","将3张随机药剂牌置入手牌。它们本回合费用变为0且数值翻倍。"
"药剂师","稀有","浓缩母液","能力","强效","2","每当你获得强效时，额外获得1层。回合结束时失去1层强效。"
"药剂师","稀有","超频坩埚","能力","回收 强效","2","每当你失去1层强效时，对随机敌人造成2点伤害并获得1点格挡。"
"药剂师","稀有","黑箱配方","技能","配方","2","发现3张稀有药剂师牌，选择1张加入手牌。本回合其费用变为0。"
"药剂师","先古","创世之力","技能","配方","3","发现1张其他职业的稀有牌，获得它及其1张复制。本回合它们费用变为0。消耗。"
"药剂师","先古","原始法则","能力","回收 调合","3","每当有牌被消耗时，随机选择1名敌人，结算其身上的中毒、烧伤、寒冷、黏着各1次。"
