"职业","稀有度","卡名","类型","标签","费用","效果"
"女巫","优秀","女巫之书","能力","法术","1","回合开始时，从牌库抽1张咒术牌。"
"女巫","优秀","燃烧果实","能力","火焰","2","回合开始时，将1张临时的火球置入手牌，其费用为1。"
"女巫","优秀","冰霜护符","能力","冰霜","1","回合结束时，对随机敌人施加3层寒冷。若你本回合未失去生命，改为所有敌人。"
"女巫","优秀","灵感烟斗","能力","法术","1","每打出5张咒术牌，随机将1张女巫咒术牌置入手牌，直到回合结束费用-1。"
"女巫","优秀","火墙","技能","火焰 咒术","1","本回合每当敌人攻击你时，对其造成4点伤害。"
"女巫","优秀","大雾","技能","咒术","1","获得9点格挡。本回合下一次受到的攻击伤害变为0。"
"女巫","优秀","法力结界","技能","法术","1","获得1点蓄法和7点格挡。若你本回合已打出过咒术牌，改为14点格挡。"
"女巫","优秀","惊奇卷轴","技能","法术","1","获得1点蓄法。发现1张女巫咒术牌，本回合费用-1。"
"女巫","优秀","记忆增幅","技能","法术","1","选择你本回合打出的1张非能力牌，将其2张复制洗入弃牌堆。"
"女巫","优秀","回音","技能","法术","1","回合结束时，将你本回合打出的每种咒术牌各1张复制洗入抽牌堆。消耗。"
"女巫","优秀","挥舞法杖","攻击","法术","1","造成6点伤害。抽1张咒术牌；若其费用为2或以上，获得1点蓄法。"
"女巫","优秀","空间撕裂","技能","法术","2","发现1张其他职业的攻击牌或技能牌。它本回合额外生效一次。"
"女巫","优秀","火刑","技能","火焰 咒术","2","将2张炎爆术雏形洗入抽牌堆。它们耗尽且造成18点伤害。"
"女巫","优秀","枯萎","技能","毒素 咒术","2","使敌人的中毒翻倍，然后施加4层中毒。"
"女巫","优秀","毒爆","技能","毒素 咒术","1","立即结算敌人的中毒2次。"
"女巫","优秀","毒性蔓延","技能","毒素 冰霜 咒术","2","敌人每有1层中毒，便施加1层寒冷，然后施加3层中毒。"
"女巫","优秀","雷云","攻击","雷电 咒术","2","造成8点伤害。每有1点蓄法，额外造成2点伤害，然后失去至多3点蓄法。"
"女巫","优秀","法力膨胀","技能","法术","1","获得2点蓄法。你打出的下一张咒术牌额外生效一次。"
"女巫","优秀","法术预言","技能","法术","1","从牌库检索1张具有蓄法或咒术标签的牌置入手牌。"
"女巫","优秀","咒语吞噬","技能","法术","2","消耗手牌中至多2张牌。每消耗1张咒术牌，获得1点蓄法并抽1张牌。"
"女巫","优秀","次元魔法","技能","法术","2","弃掉你的手牌，然后抽等量的牌。每弃掉1张咒术牌，获得1点蓄法。"
"女巫","优秀","钻研术","攻击","咒术","1","造成8点伤害并抽1张牌。若你手牌中的牌类型各不相同，重复一次。"
"女巫","优秀","巫术转移","技能","咒术","1","获得6点格挡。下回合开始时抽1张牌。若你有蓄法，再施加1层虚弱。"
"女巫","优秀","火灾","攻击","火焰 咒术","2","造成12点伤害。下回合开始时再造成12点伤害。"
"女巫","优秀","致死霜冻","攻击","冰霜 咒术","2","造成14点伤害。若目标有寒冷，伤害翻倍。"
"女巫","优秀","饱食","技能","法术","2","将你的蓄法翻倍，最多额外获得6点。"
"女巫","优秀","海潮汹涌","技能","法术","1","若你手牌中偶数费用的牌不少于2张，获得2点蓄法和8点格挡；否则抽1张牌。"
"女巫","优秀","火山喷发","攻击","火焰 咒术","2","对随机敌人造成4点伤害4次。本回合你每打出1张咒术牌，额外重复1次。"
"女巫","优秀","法力贯穿","攻击","火焰 咒术","1","造成3点伤害3次。获得1点蓄法。"
"女巫","优秀","执念恶灵","攻击","咒术","1","消耗。造成10点穿刺伤害。下回合开始时，将此牌洗回抽牌堆。"
"女巫","优秀","烧焦","技能","火焰","1","敌人获得2层易伤。你本回合造成的火焰伤害+4。"
"女巫","稀有","冰霜新星","技能","冰霜 咒术","2","对所有敌人施加12层寒冷。消耗。"
"女巫","稀有","炎爆术","攻击","火焰 咒术","3","造成32点伤害。若本回合你已使咒术额外生效过，改为42点。"
"女巫","稀有","飓风","攻击","雷电 咒术","2","对所有敌人造成8点伤害。每有1点蓄法，额外造成2点伤害，然后失去全部蓄法。"
"女巫","稀有","法力之潮","技能","法术","2","获得4点蓄法。抽2张牌。"
"女巫","稀有","能量饮料","技能","法术","3","获得8点蓄法。消耗。"
"女巫","稀有","传送门","技能","法术","2","抽2张牌。抽到的咒术牌本回合费用变为0。消耗。"
"女巫","稀有","咒语突破","技能","法术","2","你手牌中的所有咒术牌本回合效果翻倍。它们改为消耗。"
"女巫","稀有","转啊转","技能","法术","1","本回合每打出1张技能牌，你打出的下一张咒术牌额外生效一次。"
"女巫","稀有","法力源泉","能力","法术","2","你每回合打出的第一张咒术牌费用-1且额外获得1点蓄法。"
"女巫","稀有","法力护盾","能力","法术","2","你每有1点蓄法，受到攻击时便先抵消1点伤害，然后失去1点蓄法。"
"女巫","稀有","法力沉淀","技能","法术","1","抽1张牌。本回合下一次你造成非中毒伤害时，每8点伤害获得1点蓄法，最多4点。"
"女巫","稀有","移动施法","技能","法术","1","获得2点蓄法。你打出的下一张咒术牌费用-2。"
"女巫","稀有","法力提取","攻击","咒术","2","造成12点穿刺伤害。若这张牌击杀目标，永久获得1点初始蓄法。"
"女巫","稀有","暴躁","技能","法术","1","查看抽牌堆顶3张牌。选择1张加入手牌，并将其1张复制洗入弃牌堆。"
"女巫","稀有","镜像","技能","法术","1","复制你手牌最左侧的牌。若它是咒术牌，使复制费用-1。"
"女巫","稀有","隐藏","技能","咒术","1","本回合免疫下一次攻击伤害。获得2点蓄法。消耗。"
"女巫","稀有","治疗药膏","技能","法术","1","回复8点生命。若你有蓄法，再获得8点格挡。"
"女巫","稀有","着魔","技能","法术","2","抽1张牌并获得4点蓄法。消耗。"
"女巫","稀有","魔术飞刀","攻击","咒术","2","触发你弃牌堆中2张随机攻击牌的基础效果。"
"女巫","稀有","火把","能力","火焰","1","每当你造成物理伤害时，额外造成2点火焰伤害。"
"女巫","稀有","炙热斗篷","能力","火焰","2","每当敌人攻击你时，对其造成5点火焰伤害。"
"女巫","稀有","隐形斗篷","能力","法术","2","每回合第一次成为敌人攻击目标时，获得8点格挡并抽1张牌。"
"女巫","稀有","恶魔头骨","能力","法术","2","每回合第一次将受到12点或以上的伤害时，改为只受到1点伤害。"
"女巫","稀有","共鸣","技能","法术","2","复制你本回合打出的上一张咒术牌并立即打出。若你有3点以上蓄法，再重复一次，然后失去3点蓄法。"
"女巫","稀有","凝视","技能","冰霜 法术","1","施加2层易伤和2层寒冷。若目标本回合将要攻击，改为再施加2层虚弱。"
"女巫","稀有","退缩","技能","法术","1","获得10点格挡。直到你下回合开始，第一次受到攻击伤害时改为0并抽1张牌。"
"女巫","稀有","突发奇想","技能","法术","2","从3张随机女巫牌中选择1张加入手牌，并将其2张复制洗入抽牌堆。"
"女巫","稀有","无中生有","技能","法术","2","随机将2张女巫咒术牌置入手牌，它们本回合费用-1并消耗。"
"女巫","先古","法力风暴","技能","雷电 法术","3","获得6点蓄法。对所有敌人造成20点雷电伤害。若你有10点以上蓄法，失去10点蓄法并额外进行一个回合。消耗。"
"女巫","先古","灾难","攻击","冰霜 咒术","3","对所有敌人造成30点冰霜伤害并施加10层寒冷。对已有寒冷的目标，额外结算其寒冷两次。消耗。"
